kata,primary_pos,all_pos
seroma,Adjektiva,Adjektiva
pun,Partikel,Partikel
terseberang,Verba,Verba
berkait,Verba,Verba
dadih jalang,Minangkabau,Minangkabau
basuhan,Nomina,Nomina
moral,Nomina,Nomina
berjual,Verba,Verba
katrol,Nomina,Nomina
insulator,Nomina,Nomina
pemasak,Nomina,Nomina
pengisap,Nomina,Nomina
basis,Nomina,Nomina;Matematika
asuhan,Nomina,Nomina
baduta,Nomina,Nomina;akronim
balita,Nomina,Nomina;akronim
batita,Nomina,Nomina;akronim
rata-rata,Adjektiva,Adjektiva
sementelah,Partikel,Partikel;Klasik
indeks,Nomina,Nomina;Linguistik
lutut,Nomina,Nomina
mengutuh,Verba,Verba;Biologi
ujung,Nomina,Nomina;kiasan
ultima,Nomina,Nomina
burit,Nomina,Nomina
pengiklan,Nomina,Nomina
episode,Nomina,Nomina
klinik,Nomina,Nomina
buntut,Nomina,Nomina;Cakapan
perlit,Nomina,Nomina;Geografi dan Geologi
opstal,Nomina,Nomina;Belanda
bercoangan,Verba,Verba
merasai,Verba,Verba
rendaman,Nomina,Nomina
timpaan,Nomina,Nomina
tirkah,Nomina,Nomina
impian,Nomina,Nomina
runtuhan,Nomina,Nomina
apkiran,Nomina,Nomina
kemarin,Nomina,Nomina
demokrasi,Nomina,Nomina;Politik dan Pemerintahan
tawaf,Verba,Verba;Agama Islam
abidin,Nomina,Nomina;Arab
hukama,Nomina,Nomina;Arab
beliau-beliau,Pronomina,Pronomina;Cakapan
hujaj,Nomina,Nomina;Arab
hufaz,Nomina,Nomina
muluk,Adjektiva,Adjektiva
dada ayam,kiasan,kiasan
oval,Adjektiva,Adjektiva
autokrasi,Nomina,Nomina;Politik dan Pemerintahan
kisut,Nomina,Nomina
terkial-kial,Verba,Verba
kaya,Adjektiva,Adjektiva
lengseng,Verba,Verba;Cakapan
lebih,Adjektiva,Adjektiva
bertundang,Verba,Verba
bersosok,Verba,Verba
dulngo,Adjektiva,Adjektiva;Batak
kotor,Adjektiva,Adjektiva
iseng,Adjektiva,Adjektiva
neko-neko,Adverbia,Adverbia;Jawa
melenja,Verba,Verba
membongak,Verba,Verba
berpalu-palu,Verba,Verba
bertegak,Verba,Verba
berkepung,Verba,Verba
kolang-kaling,Verba,Verba
parlementaria,Nomina,Nomina
terhuyung,Verba,Verba
menyengkang,Verba,Verba
berpapah,Verba,Verba
berlenggang,Verba,Verba
lalu lintas,Nomina,Nomina
menjangkang,Verba,Verba
merudu,Verba,Verba
bergagau-gagau,Verba,Verba
mendahului,Verba,Verba
semesta,Numeralia,Numeralia
adik-beradik,Nomina,Nomina
tersera-sera,Verba,Verba
mudik,Verba,Verba
bertaruh,Verba,Verba
bernaka-naka,Verba,Verba
berpantingan,Verba,Verba
menanggung,Verba,Verba
kafiri,Adjektiva,Adjektiva;Arab
membangun,Verba,Verba
tragis,Adjektiva,Adjektiva
keningrat-ningratan,Verba,Verba
menggunung,Verba,Verba;kiasan
mendiskreditkan,Verba,Verba
berekonomi,Verba,Verba
untung-untung,Adverbia,Adverbia
penyeruduk,Nomina,Nomina
sekapan,Nomina,Nomina;Cakapan
bacaan,Nomina,Nomina;Linguistik
jurnal,Nomina,Nomina
leger,Nomina,Nomina
panduan,Nomina,Nomina;Komputer
nonsilabis,Adjektiva,Adjektiva;Linguistik
berlapuk-lapuk,Verba,Verba
tagar,Nomina,Nomina;Komputer;akronim
gurab,Nomina,Nomina;Klasik;Parsi
dendang,Nomina,Nomina
pemikat,Nomina,Nomina
penetas,Nomina,Nomina
roman,Nomina,Nomina
huria,Nomina,Nomina
sekitar,Adverbia,Adverbia
penyembelihan,Nomina,Nomina
mangsa,Nomina,Nomina;Peternakan;kiasan
alferes,Nomina,Nomina;Arkais
siap,Verba,Verba
mendapatkan,Verba,Verba
tonik,Nomina,Nomina
padi,Nomina,Nomina;Botani
spiral,Nomina,Nomina
satir,Nomina,Nomina
palapa,Nomina,Nomina
ibidem,Adverbia,Adverbia
berpimpin,Verba,Verba
cabuh,Adjektiva,Adjektiva;Minangkabau
bunting,Verba,Verba
utuh,Adjektiva,Adjektiva
berbahaya,Verba,Verba
berjumbul-jumbul,Adjektiva,Adjektiva
seksi,Nomina,Nomina;Kedokteran dan Fisiologi
kuis,Nomina,Nomina
wasalam,Verba,Verba;Arab
kurang,Adverbia,Adverbia
kah,-,-
melebar,Verba,Verba
berbahana,Verba,Verba
bermalam-malam,Numeralia,Numeralia
terucapkan,Verba,Verba
terpimpin,Verba,Verba
telap,Verba,Verba
makan,Nomina,Nomina
menampak,Verba,Verba
kuratif,Adjektiva,Adjektiva
ku,Nomina,Nomina
dadakan,Nomina,Nomina
menentui,Verba,Verba
meninjau,Verba,Verba
meranting,Verba,Verba
evokasi,Nomina,Nomina;Hukum
tuli,Adjektiva,Adjektiva
silpa,Nomina,Nomina;akronim
jataka,Nomina,Nomina;Filologi
sembunyi-sembunyi,Adverbia,Adverbia
pendek kaji,kiasan,kiasan
serta-merta,Adverbia,Adverbia
tersipu-sipu,Adverbia,Adverbia
sahaja,Adverbia,Adverbia;Klasik
selidik,Adjektiva,Adjektiva
melak-melak,Adverbia,Adverbia;Melayu Jakarta
direksi,Nomina,Nomina
belakang,Nomina,Nomina
ekstramarital,Adjektiva,Adjektiva
sebelah,Nomina,Nomina
setempat,Nomina,Nomina
menungkul,Verba,Verba;Klasik
tumungkul,Verba,Verba
menjadi,Verba,Verba
andika,Nomina,Nomina;Klasik
kep.,Nomina,Nomina;kependekan
kolosal,Adjektiva,Adjektiva
durno,Nomina,Nomina
imam,Nomina,Nomina;Agama Katolik
jijik,Adjektiva,Adjektiva
lego,Nomina,Nomina
suwarnabumi,Nomina,Nomina;Klasik
mandarin,Nomina,Nomina
kaus,Nomina,Nomina
tahajud,Verba,Verba
isya,Nomina,Nomina
zuhur,Nomina,Nomina
magrib,Nomina,Nomina
kb,Nomina,Nomina;Komputer;singkatan
mb,Nomina,Nomina;Komputer;singkatan
adven,Nomina,Nomina;Latin;Agama Kristen
indra,Nomina,Nomina
roh kudus,Agama Kristen,Agama Kristen
adam,Nomina,Nomina
hawa,Nomina,Nomina
ahad,Nomina,Nomina
zal,Nomina,Nomina
dad,Nomina,Nomina
za,Nomina,Nomina
kg,Nomina,Nomina;singkatan
tercenung,Adjektiva,Adjektiva
mengekah,Verba,Verba
bersanding,Verba,Verba
meriung,Verba,Verba
menggerumuk,Verba,Verba
suprasegmental,Adjektiva,Adjektiva;Linguistik
bulan-bulanan,Nomina,Nomina;kiasan
kerun,Nomina,Nomina;Cakapan
bintangan,Nomina,Nomina;Arkais
naga-naga,Nomina,Nomina;Klasik
superlativisme,Nomina,Nomina
khalifah,Nomina,Nomina
maharajalela,Nomina,Nomina
cecairan,Nomina,Nomina;Fisika
arifin,Nomina,Nomina
ha,Nomina,Nomina
preferensi,Nomina,Nomina
matrilokal,Adjektiva,Adjektiva;Hukum
keterlaluan,Adjektiva,Adjektiva
rupa-rupa,Adjektiva,Adjektiva;Cakapan
berbala-bala,Verba,Verba
ranap,Adjektiva,Adjektiva;Minangkabau
daba,Nomina,Nomina
pelebonan,Nomina,Nomina
aktiva,Nomina,Nomina;Ekonomi dan Keuangan
upaman,Nomina,Nomina
pel,Nomina,Nomina
ekacula,Nomina,Nomina
nomad,Nomina,Nomina
menyeniman,Verba,Verba
parataksis,Nomina,Nomina;Linguistik
rebas-rebas,Nomina,Nomina
harakat,Adjektiva,Adjektiva;Arab
duha,Nomina,Nomina
asar,Nomina,Nomina
subuh,Nomina,Nomina
matahari,Nomina,Nomina;Astronomi
bumi,Nomina,Nomina
bulan,Nomina,Nomina;Astronomi
minggu,Nomina,Nomina
bapa,Nomina,Nomina
